ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,tunnel_type,action
1331999422.810000,CIEWfM3LImLXN3oHkg,192.168.202.140,41526,192.168.23.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999428.819999,CXLCwT3F10EmZ65H79,192.168.202.140,53273,192.168.24.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999438.000000,CS4fss25kS7mqbTc9l,192.168.202.140,38137,192.168.23.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999441.740000,C4AhV61HEqbDzvpZz6,192.168.202.140,52856,192.168.24.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999446.570000,CfFpQx1ePBQ6nFnc83,192.168.202.140,38671,192.168.27.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999451.830000,CnCy9a16BabouisMP6,192.168.202.140,49119,192.168.28.1,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999458.000000,CMxop71Rf4YHjQYvq3,192.168.202.140,49114,192.168.21.254,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999461.040000,CiJF933Rpa7iydq5Yi,192.168.202.140,33521,192.168.25.102,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999465.539999,CXO3or1uaUraISVn6a,192.168.202.140,44596,192.168.25.103,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999470.120000,CGFX7nMkvdlM0xWB8,192.168.202.140,60571,192.168.22.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999470.640000,CQdB1c1CwTYGGYqyd4,192.168.202.140,46680,192.168.22.103,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999482.620000,CkuaTs2lUNWJuChfbl,192.168.202.140,43553,192.168.27.100,3544,Tunnel::TEREDO,Tunnel::DISCOVER
1331999482.810000,CIEWfM3LImLXN3oHkg,192.168.202.140,41526,192.168.23.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
1331999488.819999,CXLCwT3F10EmZ65H79,192.168.202.140,53273,192.168.24.102,3544,Tunnel::TEREDO,Tunnel::CLOSE
