FileName,SectionAlignment,FileAlignment,SizeOfHeaders,TimeDateStamp,ImageBase,SizeOfImage,DllCharacteristics,Characteristics,HighEntropy,LowEntropy,TotalSuspiciousSections,TotalNonSuspiciousSections
zeusbin_0231d648c54bc69ee61d8ead2cbd087b.ex0.json,4096,512,1024,0x50FD0843 [Mon Jan 21 09:20:03 2013 UTC],4194304,315392,32768,259,1,0,0,3
zeusbin_023a62d903f5ce412be3ea33e6de60aa.ex0.json,4096,512,4096,0x44B4B752 [Wed Jul 12 08:48:18 2006 UTC],4194304,335872,0,271,1,1,2,1
zeusbin_0245adeabbf71d571d919fcfed8c0972.ex0.json,4096,512,1024,0x4F2D5AC8 [Sat Feb  4 16:20:24 2012 UTC],4194304,339968,0,270,1,0,2,3
zeusbin_0247c0ca6ae2e9d5e2d82664c9936811.ex0.json,4096,512,4096,0x4D2D801F [Wed Jan 12 10:19:11 2011 UTC],4194304,335872,0,271,1,1,2,1
zeusbin_025340cfe1d441e7c0589b3d296cb8b8.ex0.json,4096,512,1024,0x2A425E19 [Fri Jun 19 22:22:17 1992 UTC],4194304,221184,0,33166,0,1,6,2
zeusbin_025b3be75ab6f2e3124bb0cad5fda521.ex0.json,4096,512,1024,0x511A57ED [Tue Feb 12 14:55:41 2013 UTC],4194304,49152,0,271,0,1,1,3
zeusbin_026dd39c8a3e30fa1f08d7d016641a0d.ex0.json,4096,512,1024,0x489E57F8 [Sun Aug 10 02:52:40 2008 UTC],4194304,102400,33024,259,0,1,0,3
zeusbin_02719c0c8802ba91ee14715245e27383.ex0.json,4096,512,512,0x4EBF1755 [Sun Nov 13 01:03:17 2011 UTC],4194304,135168,0,259,1,0,0,2
zeusbin_02721594e2f8166b16a79c3c9c002d79.ex0.json,4096,512,1024,0x4E186D86 [Sat Jul  9 15:02:30 2011 UTC],4194304,192512,33024,258,0,0,1,2
zeusbin_0273332e292cfb30891399577aac31ed.ex0.json,4096,512,1024,0x4DA70DA0 [Thu Apr 14 15:07:12 2011 UTC],4194304,159744,33024,258,0,1,1,2
zeusbin_027454de43b0ca31922fd6a48c1f783d.ex0.json,4096,512,1024,0x50502BB2 [Wed Sep 12 06:29:06 2012 UTC],4194304,397312,0,270,1,1,4,3
